area,price
152,782894.2538500008
142,625785.6310817059
64,336342.2611985007
156,775944.0522920656
121,628389.7376631576
70,386806.1175334629
152,721014.9059670061
171,812805.1819828037
124,612473.3070870108
137,636722.1164052512
166,837524.4539055297
149,739328.9374326803
153,896676.4110306061
180,848745.4555594567
199,955897.608685008
102,531197.1534895467
51,298635.2548995259
137,799361.2991478646
87,516146.0249670687
179,936186.653848757
70,364652.96228227863
107,579831.5191855473
71,324483.8991326333
138,674191.7051595114
98,415878.7876570543
108,528557.6241880492
64,368132.06449998514
100,489515.3781581501
157,746297.8534626748
104,502011.0927354006
113,601204.1625762938
180,887211.7681520529
100,542496.0602031174
184,854433.7887124445
70,306484.7522719463
122,584667.8390184238
67,269502.4656393763
181,1052183.1708240642
138,635186.7102359323
109,590744.2160963006
63,281696.96898847853
58,264310.6254245877
139,710066.1400474817
102,437074.1539506621
179,861863.0843310893
133,657676.3596629192
141,662699.1491772147
160,758875.5315609969
57,339336.3511519637
84,470249.3440351316
130,627911.6988386994
99,490791.74574094114
153,826850.803646823
181,833676.0557637224
51,271901.13294375705
183,1013728.5598476743
103,613251.7381962732
155,678004.4390698378
53,226868.6517892424
103,523432.9693596647
195,908906.152468328
93,431587.6650433794
63,308135.4498160365
144,790066.0782346812
97,482729.86723565817
64,330846.83630811714
89,470621.18661858013
131,682174.4345621218
160,801404.9731674101
102,450145.6468330849
73,404483.6402375336
173,886574.4731631521
90,395162.38507114054
64,285884.92180398636
94,514375.5807208135
114,600274.1565423837
138,653985.1003570594
120,586503.3115462154
58,282826.8885184655
137,715850.1887857565
178,952447.0349569955
185,928282.4579055612
112,618460.3823476312
188,983665.8484544713
130,660282.5067003336
185,852825.8324151881
82,358614.45679557556
172,897062.0317522609
54,184473.52107374844
90,455948.9245947993
77,435024.28038810525
184,927621.043112963
121,574930.1377214136
61,262669.28215676016
82,450807.63614406856
97,508585.3645763489
111,540725.5349506835
86,483264.6234422975
148,782699.889324745
153,854429.6928662731
