OrderTime,UserID,ProductID,Quantity,Price,PaymentStatus
2023-12-01 19:00:00,U45496,P123,2,439.94,Cancelled
2023-11-06 09:43:00,U92693,P110,4,224.21,Pending
2023-02-15 06:55:00,U23161,P137,1,$66.25,paid
2023-08-12 15:13:00,U93027,P113,3,227.38,Cancelled
2023-12-03 03:05:00,U80171,P124,2,$11.73,paid
2023-04-01 17:47:00,U24003,P109,5,390.25,PENDING
07/30/2023 21:34,U40629,P142,3,$96.33,Pending
2023-11-22 17:00:00,U70628,P103,2,461.1,Cancelled
05/08/2023 11:51,,P113,5,142.4,paid
2023-01-17 23:58:00,U38198,P137,3,95.55,Pending
2023-09-25 00:07:00,U87668,P112,5,276.2,Paid
2023-03-24 17:28:00,U50209,P111,1,499.12,Pending
2023-08-04 12:51:00,U40999,P137,5,141.58,Cancelled
2023-06-07 07:32:00,,P121,3,124.73,paid
2023-04-15 00:32:00,U49850,P105,2,162.89,PENDING
06/20/2023 11:35,U79979,P121,4,$190.39,Paid
2023-02-19 04:49:00,U81316,P126,3,198.21,Pending
2023-01-23 17:27:00,U11207,P104,5,355.92,Pending
2023-10-31 15:23:00,U77054,P132,2,$222.17,paid
01/14/2023 09:56,U34074,P122,4,292.81,PENDING
09/29/2023 07:16,U66846,P148,4,$372.05,paid
2023-09-07 00:09:00,U35868,P125,4,354.82,paid
2023-10-11 11:48:00,U86037,P142,1,259.63,Paid
2023-03-10 11:00:00,U43504,P122,3,323.7,Pending
2023-07-21 13:54:00,U35623,P141,5,456.06,Paid
12/23/2023 04:26,U85016,P124,5,298.99,Pending
09/17/2023 17:49,U87604,P131,1,265.5,paid
02/04/2023 18:56,U93142,P133,1,368.07,PENDING
09/25/2023 02:56,U57383,P129,5,290.09,Cancelled
2023-05-01 13:29:00,U50107,P150,3,$114.07,paid
2023-05-04 22:03:00,U11465,P112,3,369.97,paid
2023-07-15 08:40:00,U91454,P137,2,100.65,paid
2023-05-15 07:40:00,U56614,P122,3,213.96,PENDING
2023-02-11 15:04:00,U39869,P121,5,299.42,Paid
06/07/2023 19:09,U24430,P104,2,280.23,paid
2023-05-04 12:01:00,U92984,P117,4,474.84,Pending
03/31/2023 20:47,U37613,P110,2,54.7,Cancelled
2023-02-17 09:40:00,U74249,P139,2,$47.15,Pending
2023-05-22 05:03:00,,P143,3,249.65,PENDING
2023-05-03 17:51:00,U41733,P137,3,369.25,PENDING
2023-04-14 08:01:00,U54392,P128,3,216.95,PENDING
08/29/2023 02:31,U36987,P135,4,$397.8,Cancelled
2023-07-19 13:24:00,U86208,P127,2,266.61,Paid
11/27/2023 04:07,U39802,P131,4,369.48,PENDING
2023-04-01 23:21:00,U25872,P126,5,67.76,PENDING
01/16/2023 05:26,U20013,P145,2,55.74,Cancelled
05/05/2023 00:33,U55794,P126,4,288.51,Paid
01/31/2023 15:50,U67535,P101,4,330.18,Paid
2023-07-30 13:22:00,U61581,P114,1,$450.88,Pending
08/11/2023 17:45,U24815,P127,2,258.26,PENDING
2023-06-15 12:25:00,U39561,P127,2,$34.56,paid
2023-05-13 08:01:00,U49124,P110,5,168.58,Cancelled
2023-01-24 13:02:00,U72218,P110,2,440.8,PENDING
2023-08-24 07:57:00,U67794,P106,1,$64.4,Paid
2023-05-31 13:09:00,U66351,P122,3,$377.67,Pending
2023-03-16 10:16:00,U71807,P140,5,459.4,Cancelled
2023-10-29 04:14:00,U72404,P104,2,$305.08,Cancelled
03/15/2023 19:57,U16438,P120,4,$301.84,Paid
12/10/2023 02:09,U40714,P133,1,431.1,Pending
04/08/2023 12:45,U27180,P110,2,470.35,Cancelled
2023-05-24 06:43:00,U10249,P148,3,$484.39,Cancelled
2023-01-30 06:52:00,U22766,P114,3,$260.0,Paid
09/26/2023 06:12,U33938,P113,2,207.89,Paid
2023-09-03 09:36:00,U18863,P138,5,344.22,PENDING
05/31/2023 23:11,U21332,P143,5,304.61,PENDING
07/21/2023 02:26,U63757,P112,2,182.58,paid
2023-07-29 01:00:00,U96565,P119,4,$276.85,Cancelled
2023-04-12 23:15:00,U30956,P145,3,133.18,PENDING
10/11/2023 14:56,U99776,P134,5,248.28,PENDING
2023-06-05 11:14:00,U54660,P109,2,369.39,Cancelled
04/22/2023 21:43,U25025,P137,5,206.87,Pending
2023-07-31 09:27:00,U16098,P123,4,32.18,Cancelled
2023-01-21 07:34:00,U86460,P106,1,27.86,Cancelled
2023-04-29 06:32:00,U52514,P105,5,302.66,paid
2023-09-26 12:30:00,U43007,P106,5,314.46,Paid
2023-10-16 12:32:00,U54554,P130,3,310.54,PENDING
2023-03-28 09:28:00,U45700,P124,5,11.6,paid
02/23/2023 09:35,U88598,P148,2,$170.73,Pending
06/05/2023 08:06,U23115,P131,1,433.04,Paid
2023-06-30 19:28:00,U31289,P148,1,$397.26,PENDING
07/24/2023 07:40,,P111,5,263.78,paid
2023-07-18 17:00:00,U46279,P100,3,113.77,Cancelled
2023-01-15 16:59:00,U14501,P133,1,347.19,paid
08/09/2023 13:06,U44583,P122,5,373.1,Pending
2023-09-25 20:26:00,U52422,P143,2,214.51,paid
2023-01-17 02:40:00,U67183,P123,3,448.36,Paid
01/28/2023 16:47,U60475,P120,3,310.84,Paid
2023-12-11 20:12:00,U73280,P118,5,46.82,Paid
2023-09-27 02:26:00,U58607,P114,2,96.91,Pending
03/04/2023 07:09,U62125,P107,1,69.79,PENDING
2023-04-22 05:31:00,U88266,P142,1,350.85,PENDING
2023-10-27 11:35:00,U47410,P137,5,428.5,Pending
2023-12-06 09:15:00,U88509,P138,3,$261.73,paid
03/13/2023 01:04,U46574,P129,4,301.44,Paid
2023-02-18 08:15:00,U19425,P103,4,128.62,Cancelled
2023-05-20 21:06:00,U57082,P125,3,463.37,paid
2023-08-23 14:20:00,U39813,P112,5,132.45,paid
2023-08-10 06:45:00,U83753,P107,1,445.93,paid
2023-10-06 19:09:00,U47327,P106,1,121.41,Paid
2023-12-03 04:42:00,U61635,P104,4,319.9,Cancelled
02/11/2023 07:37,U65234,P141,1,175.05,Cancelled
2023-05-28 05:34:00,U90339,P113,4,283.99,Pending
12/26/2023 18:30,,P117,5,$464.79,Cancelled
2023-11-30 01:09:00,U37104,P101,4,106.48,Cancelled
2023-07-29 13:26:00,U69235,P101,2,451.36,PENDING
12/11/2023 18:51,U13631,P133,5,319.92,Pending
2023-02-18 21:22:00,U82651,P104,4,271.91,paid
2023-02-28 09:39:00,U78796,P137,1,85.4,Pending
01/05/2023 03:15,U99945,P128,2,$216.01,Pending
2023-08-11 04:43:00,U97126,P100,4,$269.71,paid
10/31/2023 03:09,U82796,P134,2,103.13,Pending
2023-07-10 19:25:00,U85065,P104,3,187.96,Cancelled
06/23/2023 20:32,,P119,4,$129.85,paid
2023-03-29 09:07:00,U95841,P109,1,465.96,Cancelled
2023-02-20 14:55:00,U93579,P122,2,85.97,Pending
2023-06-20 15:15:00,U70282,P115,2,$207.78,paid
2023-12-13 20:58:00,U28945,P138,4,168.98,Paid
2023-12-19 10:23:00,U47154,P141,4,$447.9,PENDING
2023-12-15 01:46:00,U11850,P110,3,499.59,PENDING
